Nome;Extensao;Nascente;Foz;Estados
Amazonas;6.692;Nevado Mismi no Peru;Oceano Atlântico;AM, PA, AP
Paraná;4.880;Rio Grande e Rio Parnaíba;Rio da Prata;SP, PR, MS, MG
Purus;3.379;Colinas do Arco Fitzcarrald, no Peru;Rio Amazonas;AC, AM
Madeira;3.315;Confluência dos rios Beni e Mamoré, na Bolívia;Rio Amazonas;RO, AM
São Francisco;2.914;Serra da Canastra, em Minas Gerais;Oceano Atlântico;MG, BA, PE, SE, AL
Negro;2.250;Colômbia e Venezuela;Rio Amazonas;AM
Xingu;2.230;Mato Grosso (Serra do Roncador);Rio Amazonas (Pará);MT, PA
Araguaia-Tocantins;4.565;Goiás (Serra do Caiapó) e Tocantins (Serra Geral de Goiás);Oceano Atlântico (Maranhão).;GO, MT, TO, PA, MA
Tapajós;1.610;Mato Grosso;Rio Amazonas em Santarém no Pará.;MT, PA
Içá-Putumayo;2.865;Colômbia;Rio Amazonas em Santo Antônio do Içá no Amazonas.;AM
Japurá-Caquetá;3.695;Colômbia;Rio Amazonas em Tefé no Amazonas.;AM
Paraguai;1.370;Chapada dos Parecis em Mato Grosso;Rio da Prata na Argentina;MT, MS
Uruguai;1.000;Serra do Mar em Santa Catarina ;Rio da Prata na Argentina;SC, RS
Javari;1.000;Andes peruanos ;Rio Solimões no Amazonas;AM
